"filename", "language", "toml", "Python", "Markdown", "pip requirements", "Ini", "Database", "Docker", "comment", "blank", "total"
"d:\data_proj\Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 7, 0, 0, 7
"d:\data_proj\Pipfile", "toml", 14, 0, 0, 0, 0, 0, 0, 0, 4, 18
"d:\data_proj\README.md", "Markdown", 0, 0, 32, 0, 0, 0, 0, 0, 15, 47
"d:\data_proj\app.py", "Python", 0, 48, 0, 0, 0, 0, 0, 9, 15, 72
"d:\data_proj\data.db", "Database", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\data_proj\db.py", "Python", 0, 2, 0, 0, 0, 0, 0, 0, 2, 4
"d:\data_proj\migrations\alembic.ini", "Ini", 0, 0, 0, 0, 38, 0, 0, 0, 13, 51
"d:\data_proj\migrations\env.py", "Python", 0, 45, 0, 0, 0, 0, 0, 32, 21, 98
"d:\data_proj\migrations\versions\10e4d4c0c95c_.py", "Python", 0, 12, 0, 0, 0, 0, 0, 12, 9, 33
"d:\data_proj\migrations\versions\1205e62cf33c_.py", "Python", 0, 56, 0, 0, 0, 0, 0, 12, 15, 83
"d:\data_proj\migrations\versions\3b071dc1f369_.py", "Python", 0, 34, 0, 0, 0, 0, 0, 12, 13, 59
"d:\data_proj\migrations\versions\4c3742c8fd16_.py", "Python", 0, 33, 0, 0, 0, 0, 0, 12, 9, 54
"d:\data_proj\migrations\versions\91abc31bf1de_.py", "Python", 0, 18, 0, 0, 0, 0, 0, 12, 9, 39
"d:\data_proj\migrations\versions\ba9fdc32557c_.py", "Python", 0, 34, 0, 0, 0, 0, 0, 12, 9, 55
"d:\data_proj\migrations\versions\d2746753aaa5_.py", "Python", 0, 33, 0, 0, 0, 0, 0, 12, 9, 54
"d:\data_proj\migrations\versions\da15aec5b7c3_.py", "Python", 0, 76, 0, 0, 0, 0, 0, 12, 7, 95
"d:\data_proj\migrations\versions\e52cf9b47e2f_.py", "Python", 0, 74, 0, 0, 0, 0, 0, 12, 7, 93
"d:\data_proj\models\__init__.py", "Python", 0, 10, 0, 0, 0, 0, 0, 0, 1, 11
"d:\data_proj\models\address.py", "Python", 0, 9, 0, 0, 0, 0, 0, 0, 5, 14
"d:\data_proj\models\cart.py", "Python", 0, 18, 0, 0, 0, 0, 0, 0, 8, 26
"d:\data_proj\models\collection.py", "Python", 0, 6, 0, 0, 0, 0, 0, 0, 5, 11
"d:\data_proj\models\item.py", "Python", 0, 17, 0, 0, 0, 0, 0, 0, 8, 25
"d:\data_proj\models\item_tags.py", "Python", 0, 5, 0, 0, 0, 0, 0, 0, 4, 9
"d:\data_proj\models\manage_store.py", "Python", 0, 5, 0, 0, 0, 0, 0, 0, 5, 10
"d:\data_proj\models\order.py", "Python", 0, 15, 0, 0, 0, 0, 0, 0, 7, 22
"d:\data_proj\models\store.py", "Python", 0, 12, 0, 0, 0, 0, 0, 0, 6, 18
"d:\data_proj\models\tag.py", "Python", 0, 8, 0, 0, 0, 0, 0, 0, 5, 13
"d:\data_proj\models\user.py", "Python", 0, 30, 0, 0, 0, 0, 0, 0, 10, 40
"d:\data_proj\requirements.txt", "pip requirements", 0, 0, 0, 85, 0, 0, 0, 0, 0, 85
"d:\data_proj\resources\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\data_proj\resources\item.py", "Python", 0, 53, 0, 0, 0, 0, 0, 0, 16, 69
"d:\data_proj\resources\store.py", "Python", 0, 38, 0, 0, 0, 0, 0, 0, 11, 49
"d:\data_proj\resources\tag.py", "Python", 0, 78, 0, 0, 0, 0, 0, 0, 23, 101
"d:\data_proj\resources\user.py", "Python", 0, 44, 0, 0, 0, 0, 0, 0, 15, 59
"d:\data_proj\schemas.py", "Python", 0, 51, 0, 0, 0, 0, 0, 0, 26, 77
"Total", "-", 14, 864, 32, 85, 38, 0, 7, 149, 314, 1503